https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1608924180,2020-12-25 19:23:00,BTC/EUR,19998.14,20007.00,19997.47,20007.00,0.22696400,4540.868748
1608924120,2020-12-25 19:22:00,BTC/EUR,19998.00,20008.00,19984.05,20001.57,3.11267112,62258.3092936584
1608924060,2020-12-25 19:21:00,BTC/EUR,19979.44,19997.94,19971.97,19997.94,1.14449099,22887.462148560597
1608924000,2020-12-25 19:20:00,BTC/EUR,19954.60,19968.42,19935.74,19968.42,1.04488818,20864.766031275598
1608923940,2020-12-25 19:19:00,BTC/EUR,19969.75,19969.75,19965.39,19965.39,0.65751923,13127.6278594497
1608923880,2020-12-25 19:18:00,BTC/EUR,19961.10,19966.19,19942.66,19954.54,0.38077583,7598.2065307682
1608923820,2020-12-25 19:17:00,BTC/EUR,19964.67,19973.56,19948.76,19960.11,0.50065557,9993.1402493127
1608923760,2020-12-25 19:16:00,BTC/EUR,19946.73,19952.39,19938.31,19952.39,0.85931298,17145.3477090222
1608923700,2020-12-25 19:15:00,BTC/EUR,19915.87,19945.74,19915.87,19935.94,0.58818599,11726.0406054806
1608923640,2020-12-25 19:14:00,BTC/EUR,19934.10,19947.79,19920.00,19920.00,1.14377761,22784.049991199998
1608923580,2020-12-25 19:13:00,BTC/EUR,19950.57,19950.57,19936.76,19941.42,0.44691027,8912.025396383398
1608923520,2020-12-25 19:12:00,BTC/EUR,19932.81,19947.82,19930.94,19947.82,0.00674705,134.588938931
1608923460,2020-12-25 19:11:00,BTC/EUR,19917.54,19932.13,19917.54,19926.11,0.90801193,18093.1455984923
1608923400,2020-12-25 19:10:00,BTC/EUR,19928.39,19928.39,19921.87,19924.71,0.36682510,7308.883738221
1608923340,2020-12-25 19:09:00,BTC/EUR,19923.87,19941.44,19923.87,19939.93,1.48370700,29585.013720510004
1608923280,2020-12-25 19:08:00,BTC/EUR,19933.18,19956.36,19923.86,19940.73,0.67600870,13480.106964351
1608923220,2020-12-25 19:07:00,BTC/EUR,19935.00,19935.00,19918.61,19918.61,2.77510747,55276.2834030167
1608923160,2020-12-25 19:06:00,BTC/EUR,19986.19,19986.19,19950.81,19950.81,0.41440875,8267.7902335875
1608923100,2020-12-25 19:05:00,BTC/EUR,19932.45,19966.41,19932.45,19966.41,2.60000000,51912.666000000005
1608923040,2020-12-25 19:04:00,BTC/EUR,19948.85,19948.85,19919.80,19937.08,0.42173999,8408.263919829202
1608922980,2020-12-25 19:03:00,BTC/EUR,19939.86,19952.51,19939.86,19948.48,0.22314434,4451.3904036032
1608922920,2020-12-25 19:02:00,BTC/EUR,19973.13,19973.13,19936.54,19952.51,2.42938608,48472.35005506079
1608922860,2020-12-25 19:01:00,BTC/EUR,19971.30,19972.80,19965.88,19966.69,1.27830946,25523.6087118874
1608922800,2020-12-25 19:00:00,BTC/EUR,19958.88,19998.13,19958.88,19976.20,1.40389470,28044.48130614
1608922740,2020-12-25 18:59:00,BTC/EUR,19968.00,19968.00,19951.08,19961.59,4.07294951,81302.5482093209
1608922680,2020-12-25 18:58:00,BTC/EUR,19952.75,19969.19,19952.75,19968.00,0.84063105,16785.7208064
1608922620,2020-12-25 18:57:00,BTC/EUR,19967.41,19967.41,19947.57,19947.57,1.00587041,20064.6704144037
1608922560,2020-12-25 18:56:00,BTC/EUR,19965.31,19965.31,19942.61,19957.37,0.68035749,13578.146160201299
1608922500,2020-12-25 18:55:00,BTC/EUR,19972.71,19972.71,19951.79,19952.09,1.40070479,27946.9880335111
1608922440,2020-12-25 18:54:00,BTC/EUR,19976.46,19982.29,19952.59,19982.29,0.82956652,16576.6387769308
1608922380,2020-12-25 18:53:00,BTC/EUR,19978.72,19979.81,19952.58,19967.59,2.41675091,48256.691303006904
1608922320,2020-12-25 18:52:00,BTC/EUR,19963.89,19985.00,19963.89,19985.00,0.55683470,11128.3414795
1608922260,2020-12-25 18:51:00,BTC/EUR,19971.21,19980.21,19960.84,19960.84,2.48025398,49507.9528541432
1608922200,2020-12-25 18:50:00,BTC/EUR,19987.49,20004.18,19966.01,19966.01,0.63444050,12667.245367404998
1608922140,2020-12-25 18:49:00,BTC/EUR,19916.43,20017.26,19913.63,19988.96,13.49070807,269665.2239829072
1608922080,2020-12-25 18:48:00,BTC/EUR,19908.00,19916.43,19896.24,19916.43,3.76888075,75062.6496357225
1608922020,2020-12-25 18:47:00,BTC/EUR,19901.11,19917.16,19889.31,19896.24,2.86022292,56907.681669820806
1608921960,2020-12-25 18:46:00,BTC/EUR,19871.00,19905.60,19871.00,19901.11,11.56667965,230189.7640494115
1608921900,2020-12-25 18:45:00,BTC/EUR,19864.36,19872.78,19855.98,19872.78,0.37344047,7421.3003034066
1608921840,2020-12-25 18:44:00,BTC/EUR,19865.75,19873.80,19864.36,19869.06,0.67075637,13327.2985609122
1608921780,2020-12-25 18:43:00,BTC/EUR,19870.28,19870.28,19856.97,19863.77,1.73645501,34492.5429339877
